greeter,screener,dispenser,medic,resources,throughput,time,scenario,forms
4,6,5,2,17,134,29.4019956332,prescreen10,428.8
12,6,16,5,39,410,28.8125073148,prescreen10,1312
22,6,16,1,45,781.333333333,27.9317461437,prescreen10,2500.2666666656
22,6,16,5,49,776.666666667,26.9778185205,prescreen10,2485.3333333344
22,10,14,7,53,783,26.5860639734,prescreen10,2505.6
27,14,15,5,61,927,26.7963558428,prescreen10,2966.4
29,12,16,7,64,1006,26.5863365314,prescreen10,3219.2
35,10,14,7,66,1072.66666667,28.850058548,prescreen10,3432.533333344
31,10,21,6,68,1081.33333333,26.5508456379,prescreen10,3460.266666656
29,17,21,5,72,1001.66666667,26.3213081536,prescreen10,3205.333333344
35,10,21,7,73,1201,26.1622937802,prescreen10,3843.2
40,11,21,11,83,1376.33333333,25.8407146307,prescreen10,4404.266666656
40,12,27,6,85,1353.33333333,25.6218534942,prescreen10,4330.666666656
52,10,21,4,87,1571,28.8782365625,prescreen10,5027.2
52,10,23,2,87,1707,36.3523750712,prescreen10,5462.4
52,10,21,5,88,1551.66666667,28.7083246223,prescreen10,4965.333333344
45,12,27,6,90,1568,25.1872450521,prescreen10,5017.6
54,14,21,7,96,1578,28.6974469282,prescreen10,5049.6
55,12,27,6,100,1890.33333333,24.4242990595,prescreen10,6049.066666656
55,10,30,7,102,1911.66666667,24.5580911493,prescreen10,6117.333333344
55,15,30,11,111,1913,24.0864384076,prescreen10,6121.6
60,27,39,22,148,2058.33333333,23.8502118086,prescreen10,6586.666666656
1,6,10,5,22,35,27.0007685961,prescreen10,112
3,9,6,9,27,109.333333333,29.1967192423,prescreen10,349.8666666656
3,9,10,5,27,109.333333333,29.1967192423,prescreen10,349.8666666656
6,9,6,9,30,216.333333333,28.8408224982,prescreen10,692.2666666656
9,15,4,7,35,292.333333333,31.4318457307,prescreen10,935.4666666656
9,9,16,5,39,320.333333333,28.6397468906,prescreen10,1025.0666666656
11,13,10,5,39,394.666666667,28.8005173684,prescreen10,1262.9333333344
29,15,14,4,62,1008,27.2920951247,prescreen10,3225.6
37,9,16,2,64,1204.33333333,31.325020021,prescreen10,3853.866666656
29,15,14,8,66,1011.33333333,26.8771659059,prescreen10,3236.266666656
37,9,16,5,67,1186,28.7062709675,prescreen10,3795.2
37,12,16,7,72,1188,28.1665856003,prescreen10,3801.6
29,6,26,12,73,1028.66666667,26.0954965125,prescreen10,3291.733333344
39,13,19,7,78,1335.33333333,26.057492578,prescreen10,4273.066666656
29,7,35,9,80,1005,26.0100546664,prescreen10,3216
39,13,22,7,81,1356.33333333,25.679287364,prescreen10,4340.266666656
50,13,29,5,97,1716.66666667,25.0716194832,prescreen10,5493.333333344
57,10,27,4,98,1944.66666667,25.0675023721,prescreen10,6222.933333344
57,10,27,8,102,1938.33333333,24.8463539818,prescreen10,6202.666666656
56,20,26,4,106,1891.33333333,24.5403744146,prescreen10,6052.266666656
57,13,35,4,109,1963,25.5444697031,prescreen10,6281.6
57,10,35,9,111,1930.33333333,24.2953566533,prescreen10,6177.066666656
54,15,37,7,113,1864.33333333,24.0652180885,prescreen10,5965.866666656
14,13,9,1,37,494.333333333,32.4193140307,prescreen10,1581.8666666656
17,5,13,6,41,599,28.0971347048,prescreen10,1916.8
33,5,15,1,54,1034.33333333,37.7433422312,prescreen10,3309.866666656
33,5,13,6,57,960.333333333,31.5207959396,prescreen10,3073.0666666656
31,5,21,2,59,1021.33333333,30.1340789285,prescreen10,3268.266666656
33,5,24,3,65,1039,29.2325407062,prescreen10,3324.8
43,15,21,2,81,1469.66666667,29.6008825868,prescreen10,4702.933333344
43,13,19,8,83,1378,27.6080757545,prescreen10,4409.6
43,15,21,8,87,1480.66666667,25.5988604942,prescreen10,4738.133333344
54,12,24,3,93,1712.66666667,30.2582424338,prescreen10,5480.533333344
54,12,29,1,96,1837.66666667,46.4987143409,prescreen10,5880.533333344
57,15,29,1,102,1981,42.0785731114,prescreen10,6339.2
59,15,29,1,104,2036.33333333,34.5614283694,prescreen10,6516.266666656
57,16,40,1,114,1990.33333333,33.2880619978,prescreen10,6369.066666656
59,16,31,9,115,2053.66666667,23.6650043243,prescreen10,6571.733333344
59,21,30,13,123,2065.66666667,23.9241905358,prescreen10,6610.133333344
60,21,36,13,130,2073.33333333,23.8909589907,prescreen10,6634.666666656
59,26,36,13,134,2035.33333333,23.6547063675,prescreen10,6513.066666656
60,38,37,47,182,2076,24.0240983187,prescreen10,6643.2
9,6,9,3,27,323,28.4792753335,prescreen20,1033.6
1,18,12,7,38,36,26.781396517,prescreen20,115.2
9,5,19,5,38,314.333333333,28.0980246733,prescreen20,1005.8666666656
9,12,12,7,40,317,28.3926559796,prescreen20,1014.4
20,6,16,2,44,706.666666667,28.5278654949,prescreen20,2261.3333333344
22,14,12,4,52,776.666666667,27.3259991887,prescreen20,2485.3333333344
22,10,14,7,53,778.333333333,27.2481478045,prescreen20,2490.6666666656
22,14,16,1,53,784.666666667,31.6504237022,prescreen20,2510.9333333344
31,4,16,2,53,942.666666667,32.0857506925,prescreen20,3016.5333333344
22,6,21,6,55,775.666666667,27.1379753274,prescreen20,2482.1333333344
22,18,15,3,58,793.666666667,27.1484554816,prescreen20,2539.7333333344
31,13,16,1,61,1087.66666667,32.4215398541,prescreen20,3480.533333344
36,5,19,3,63,1159,29.8629612062,prescreen20,3708.8
31,6,16,11,64,1085.33333333,26.2790157822,prescreen20,3473.066666656
36,5,19,5,65,1149,28.645662632,prescreen20,3676.8
31,9,21,6,67,1095,25.9970685319,prescreen20,3504
35,15,16,1,67,1201.66666667,40.5562205534,prescreen20,3845.333333344
31,11,21,6,69,1112,26.2700332414,prescreen20,3558.4
35,15,16,5,71,1180.33333333,26.6613214844,prescreen20,3777.066666656
42,11,16,5,74,1216.66666667,29.814997416,prescreen20,3893.333333344
31,13,20,11,75,1099,26.2473801566,prescreen20,3516.8
31,9,31,6,77,1078.33333333,25.9405401754,prescreen20,3450.666666656
35,15,21,6,77,1218,26.0095308707,prescreen20,3897.6
40,13,20,5,78,1357.33333333,26.1541208031,prescreen20,4343.466666656
40,11,21,6,78,1393,26.3443164427,prescreen20,4457.6
42,10,21,6,79,1434.33333333,25.7920265488,prescreen20,4589.866666656
42,11,21,6,80,1445,26.0180853377,prescreen20,4624
42,10,27,6,85,1455,25.4693486891,prescreen20,4656
38,15,26,7,86,1340.33333333,25.4421600441,prescreen20,4289.066666656
47,10,21,11,89,1573,26.0515589351,prescreen20,5033.6
55,11,21,6,93,1626.33333333,28.7893887924,prescreen20,5204.266666656
42,15,30,7,94,1458,25.7890420103,prescreen20,4665.6
47,10,38,1,96,1661.66666667,35.5849841809,prescreen20,5317.333333344
47,10,31,11,99,1664.33333333,24.9483296358,prescreen20,5325.866666656
55,9,31,5,100,1941.66666667,24.6046452586,prescreen20,6213.333333344
55,13,26,7,101,1902.33333333,24.5211725072,prescreen20,6087.466666656
60,15,30,2,107,2051.33333333,31.2041599416,prescreen20,6564.266666656
55,14,36,5,110,1930,24.2886330576,prescreen20,6176
55,14,36,7,112,1916,24.1635877504,prescreen20,6131.2
60,21,27,6,114,1986.66666667,26.3010628302,prescreen20,6357.333333344
60,15,30,11,116,2033.66666667,24.0238531234,prescreen20,6507.733333344
60,30,39,5,134,2073.33333333,24.2060527871,prescreen20,6634.666666656
60,27,46,5,138,2071,23.9409589606,prescreen20,6627.2
4,6,12,1,23,130,29.2155235393,prescreen30,416
4,5,12,11,32,133.666666667,29.6328983303,prescreen30,427.7333333344
10,3,15,5,33,342.333333333,27.7445618659,prescreen30,1095.4666666656
1,15,16,2,34,36.6666666667,26.616998295,prescreen30,117.33333333344
15,10,14,2,41,526.666666667,27.7202598998,prescreen30,1685.3333333344
22,10,16,1,49,767.666666667,36.2497213353,prescreen30,2456.5333333344
22,11,14,5,52,765.333333333,27.3842819903,prescreen30,2449.0666666656
22,5,23,2,52,790,29.6263078118,prescreen30,2528
22,4,16,11,53,771.333333333,27.3863129936,prescreen30,2468.2666666656
22,13,15,5,55,784.333333333,27.2613195841,prescreen30,2509.8666666656
22,14,12,7,55,792.666666667,27.4267042705,prescreen30,2536.5333333344
30,6,14,7,57,1023.33333333,27.0238894913,prescreen30,3274.666666656
22,11,21,6,60,775,26.9648433453,prescreen30,2480
27,10,23,2,62,946.666666667,26.9729351064,prescreen30,3029.3333333344
35,6,14,7,62,1058.33333333,30.2625272567,prescreen30,3386.666666656
31,11,14,7,63,1034,27.2185795251,prescreen30,3308.8
31,13,15,5,64,1074.33333333,26.9915217307,prescreen30,3437.866666656
36,5,23,2,66,1256.33333333,29.4130152415,prescreen30,4020.266666656
31,10,16,11,68,1097.66666667,26.2989884722,prescreen30,3512.533333344
35,15,16,5,71,1184.66666667,27.2333127044,prescreen30,3790.933333344
30,15,16,11,72,1039.33333333,26.232244934,prescreen30,3325.866666656
40,11,21,1,73,1370,32.1859804098,prescreen30,4384
35,15,16,9,75,1185.33333333,27.2144444446,prescreen30,3793.066666656
42,13,16,5,76,1261,29.9883112547,prescreen30,4035.2
47,10,21,2,80,1609.33333333,28.7945013787,prescreen30,5149.866666656
38,18,23,2,81,1322.33333333,25.9721624999,prescreen30,4231.466666656
45,10,21,11,87,1511,25.8857140912,prescreen30,4835.2
38,10,21,19,88,1326.66666667,25.6898360452,prescreen30,4245.333333344
52,10,21,6,89,1576.66666667,27.95107807,prescreen30,5045.333333344
52,10,21,7,90,1589,27.8454948258,prescreen30,5084.8
47,21,23,2,93,1617,29.3933320677,prescreen30,5174.4
38,15,30,11,94,1323.66666667,25.5291211278,prescreen30,4235.733333344
57,6,25,7,95,1680.33333333,29.7431846309,prescreen30,5377.066666656
54,17,23,2,96,1758,32.1878251805,prescreen30,5625.6
47,6,39,5,97,1582,26.1777736663,prescreen30,5062.4
52,21,23,2,98,1720.66666667,30.5005865362,prescreen30,5506.133333344
45,12,39,5,101,1571.33333333,25.4840888484,prescreen30,5028.266666656
42,13,37,11,103,1469,25.2441448417,prescreen30,4700.8
45,12,39,7,103,1570,25.3673268803,prescreen30,5024
55,17,30,2,104,1876,27.8422441896,prescreen30,6003.2
47,21,23,14,105,1629.33333333,25.0366057665,prescreen30,5213.866666656
55,9,35,7,106,1864.33333333,24.3663238928,prescreen30,5965.866666656
54,14,41,2,111,1896,30.5782785271,prescreen30,6067.2
55,11,30,16,112,1888.66666667,24.4217543356,prescreen30,6043.733333344
55,9,35,16,115,1870.66666667,24.404115584,prescreen30,5986.133333344
60,10,30,16,116,2069.66666667,24.119748545,prescreen30,6622.933333344
59,15,35,16,125,2049.66666667,23.7581785228,prescreen30,6558.933333344
60,30,40,2,132,2081.33333333,31.3843065932,prescreen30,6660.266666656
60,14,41,19,134,2081.33333333,23.6553394649,prescreen30,6660.266666656
60,30,30,16,136,2086.33333333,24.2710867433,prescreen30,6676.266666656
60,30,40,7,137,2061.33333333,23.5476802332,prescreen30,6596.266666656
1,4,13,2,20,34,27.195913514,prescreen40,108.8
15,3,13,2,33,527,27.6198322117,prescreen40,1686.4
15,3,16,11,45,514.333333333,26.9732778301,prescreen40,1645.8666666656
25,4,16,2,47,865.666666667,27.1090230691,prescreen40,2770.1333333344
31,9,13,2,55,966.666666667,29.5909941687,prescreen40,3093.3333333344
31,9,14,2,56,1020,29.7620834845,prescreen40,3264
31,6,19,1,57,1060,31.6383978378,prescreen40,3392
31,9,14,5,59,1024,27.8051071629,prescreen40,3276.8
31,9,16,4,60,1084.66666667,26.8021127569,prescreen40,3470.933333344
31,10,16,4,61,1084.66666667,26.5913444089,prescreen40,3470.933333344
36,5,19,1,61,1266,28.0278318742,prescreen40,4051.2
31,9,21,5,66,1068,26.2898907314,prescreen40,3417.6
31,9,16,11,67,1087,26.7755042425,prescreen40,3478.4
31,5,21,11,68,1085,26.3906734181,prescreen40,3472
31,13,20,7,71,1070,26.3477547158,prescreen40,3424
35,6,25,7,73,1229,25.8407543266,prescreen40,3932.8
36,5,21,11,73,1248,26.0118783781,prescreen40,3993.6
40,9,23,2,74,1386.33333333,25.7377449729,prescreen40,4436.266666656
42,9,21,5,77,1450.33333333,25.5949571596,prescreen40,4641.066666656
42,13,20,7,82,1453.66666667,25.8173919997,prescreen40,4651.733333344
38,15,27,6,86,1314,25.5915962023,prescreen40,4204.8
50,13,21,4,88,1572,27.1340701167,prescreen40,5030.4
40,17,25,7,89,1375.33333333,25.4039555048,prescreen40,4401.066666656
42,15,27,6,90,1472.33333333,25.2255509761,prescreen40,4711.466666656
54,5,21,11,91,1572.33333333,31.6680305392,prescreen40,5031.466666656
50,10,21,11,92,1622,27.0360290968,prescreen40,5190.4
55,6,25,7,93,1787.66666667,26.9440849181,prescreen40,5720.533333344
50,13,27,6,96,1757,24.5735346134,prescreen40,5622.4
54,10,27,6,97,1901.33333333,24.4111827978,prescreen40,6084.266666656
55,11,27,6,99,1905.66666667,24.5303348323,prescreen40,6098.133333344
54,12,30,7,103,1877,24.152551042,prescreen40,6006.4
56,21,27,6,110,1937,24.5900125961,prescreen40,6198.4
54,12,39,6,111,1880.33333333,24.3027502905,prescreen40,6017.066666656
54,14,41,5,114,1916,24.1766794211,prescreen40,6131.2
54,10,41,19,124,1880.33333333,23.9188822128,prescreen40,6017.066666656
56,14,52,5,127,1942,24.2253030556,prescreen40,6214.4
56,35,30,7,128,1953.66666667,24.3471472566,prescreen40,6251.733333344
60,27,46,3,136,2085,27.298557282,prescreen40,6672
54,17,58,11,140,1925.33333333,24.2246583309,prescreen40,6161.066666656
60,30,40,19,149,2115.33333333,24.0886396868,prescreen40,6769.066666656
59,41,31,20,151,2038,23.9594000598,prescreen40,6521.6
15,1,5,1,22,374,40.164654103,prescreen50,1196.8
15,1,12,2,30,458.666666667,35.4301593727,prescreen50,1467.7333333344
12,6,13,2,33,418.333333333,29.1026830175,prescreen50,1338.6666666656
9,5,12,12,38,322,28.981602681,prescreen50,1030.4
12,6,14,7,39,417.333333333,29.028324576,prescreen50,1335.4666666656
22,10,13,2,47,769.333333333,27.3612681104,prescreen50,2461.8666666656
22,10,14,6,52,771.333333333,27.1232517533,prescreen50,2468.2666666656
22,10,12,12,56,778,27.343601143,prescreen50,2489.6
24,13,12,7,56,802,27.7655366841,prescreen50,2566.4
22,13,20,5,60,780.333333333,26.9107682868,prescreen50,2497.0666666656
